[2023-12-01T02:16:34.712695+00:00] name.INFO: drd [] []
[2023-12-01T02:19:20.201775+00:00] log.INFO: test [] []
[2023-12-01T02:19:38.388030+00:00] log.INFO: test [] []
[2023-12-01T02:23:10.699554+00:00] log.INFO: User Logged in Successfully! {"user_id":123,"username":"john_doe"} []
[2023-12-01T02:27:26.993187+00:00] log.INFO: User Logged in Successfully! {"user_id":25,"username":"Seekwork"} []
[2023-12-01T02:28:38.967053+00:00] log.INFO: User Logged in Successfully! {"user_id":25,"username":"Seekwork"} []
[2023-12-01T02:30:47.440402+00:00] log.INFO: User logged in {"user_id":123,"username":"john_doe","ip_address":"192.168.1.100","user_agent":"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"} []
[2023-12-01T02:33:40.658174+00:00] log.INFO: User Logged in Successfully! {"user_id":25,"IP_Address":"172.19.0.1"} []
[2023-12-01T02:38:09.272229+00:00] log.INFO: Failed login attempt from a user. {"IP_Address":"172.19.0.1"} []
[2023-12-01T02:38:46.870937+00:00] log.INFO: Login attempt from a deactivated user. {"IP_Address":"172.19.0.1"} []
[2023-12-01T02:38:57.847398+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.19.0.1"} []
[2023-12-01T06:52:19.912055+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-01T09:15:21.430848+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-01T09:23:37.094854+00:00] log.INFO: User Logged in Successfully! {"user_id":28,"IP_Address":"172.18.0.1"} []
[2023-12-01T09:24:33.630548+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-01T09:33:51.952867+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.19.0.1"} []
[2023-12-01T09:45:54.455875+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.21.0.1"} []
[2023-12-01T10:04:43.319939+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-01T16:05:59.250992+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-01T16:09:53.187351+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-01T16:13:45.995366+00:00] log.INFO: User Logged in Successfully! {"user_id":25,"IP_Address":"172.18.0.1"} []
[2023-12-02T14:12:14.601274+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-02T14:50:20.353914+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-02T14:58:22.529988+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-02T15:33:09.144450+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
[2023-12-02T15:37:07.365359+00:00] log.INFO: User Logged in Successfully! {"user_id":26,"IP_Address":"172.18.0.1"} []
[2023-12-02T16:15:31.456051+00:00] log.INFO: User Logged in Successfully! {"user_id":35,"IP_Address":"172.18.0.1"} []
[2023-12-02T16:20:16.172219+00:00] log.INFO: User Logged in Successfully! {"user_id":27,"IP_Address":"172.18.0.1"} []
